threshold,width,ns,nr
0.98,30,0.0001003814495081309,5.079456212156084
0.8,30,0.055661513752258585,5.079456212154828
0.2,30,0.21687412166231682,4.778426216490847
0.97,20,0.34114635615338285,5.079456212156084
0.85,30,0.4089038345713712,4.778426216490847
0.96,15,0.6456032925115439,5.079456212154828
0.7,20,0.7337883959044369,4.602334957437096
0.95,10,0.7398614735996788,5.079456212154828
0.85,5,0.8014454928729171,4.778426216490847
0.6,15,0.8178076691427424,4.602334957437096
0.98,20,0.8193133908853644,4.477396220828314
0.8,20,0.8605701666332062,4.477396220828314
0.5,10,0.8610218831559928,4.602334957437096
0.97,15,0.8691025898413973,4.477396220828314
0.4,30,0.8763802449307369,4.0794562121559865
0.4,5,0.8943485243926922,4.477396220828314
0.7,15,0.896456534832363,4.477396220828314
0.96,10,0.8991668339690825,4.602334957437096
0.95,30,0.9154286287893997,3.933328176477831
0.6,10,0.9167837783577595,4.380486207819968
0.95,5,0.9201465569162819,4.477396220828314
0.5,5,0.9308371812888978,4.30130496177215
0.2,20,0.9463963059626581,3.933328176477831
0.5,30,0.9491066050993776,3.3804862078200832
0.98,15,0.9536739610519976,3.875336229499989
0.85,20,0.9556815900421602,3.8007026112032185
0.97,10,0.9579401726560931,3.7784262164920053
0.8,15,0.9604497088937964,3.737033531333938
0.96,5,0.9615037141136318,3.7572369174222877
0.7,10,0.9637622967275647,3.6815162034839486
0.96,30,0.963963059626581,2.6096341961779217
0.4,20,0.9666231680385465,3.5479772951137654
0.6,5,0.9674262196346115,3.6992449704444286
0.2,15,0.9694338486247741,3.560942272278169
0.98,10,0.9720437663119855,3.588094518321863
0.6,30,0.9721441477614937,1.8554414007832192
0.95,20,0.9726962457337884,3.253381409455298
0.97,5,0.9745031118249348,3.477396220828169
0.85,15,0.974703874723951,3.4073583542203427
0.5,20,0.9765107408150974,2.8726303361242373
0.8,10,0.9766111222646054,3.3390935226618477
0.97,30,0.9771130295121462,1.2775725050308442
0.4,15,0.9781670347319815,3.092684477889837
0.7,5,0.9789198956032925,3.1656423597723826
0.96,20,0.9794719935755872,2.416698380474513
0.2,10,0.9798735193736198,3.0708560403941596
0.95,15,0.9810780967677173,2.7698260447301783
0.98,5,0.981580004015258,2.9121388774079127
0.85,10,0.982332864886569,2.7984228449083437
0.8,5,0.9835876330054206,2.6155632231701746
0.7,30,0.9842903031519775,0.9586520343152866
0.6,20,0.985394499096567,1.430998617873561
0.5,15,0.986247741417386,1.9510569434382756
0.4,10,0.9872515559124674,2.0683088513802894
0.2,5,0.9884561333065649,1.8246665247588743
